Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,Class
151,0.760200701,1,1,0.760196328,1,1,0.620042555,0.760198618,0.760197182,1,1,0.760197864,1,1,0.760190861,0.760192662,0.760200615,1,1,0.760203986,1,1,0.619928833,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,1,1,0.76026727,1,1,0.619911466,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,0.760200615,0.619978002,1,0.760203986,1,1,1,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,0.619965175,1,0.76026727,1,1,1,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,17.4661,17.3828,17.3603,17.0539,17.0178,1
152,0.76018843,1,0.760196833,1,0.76023982,0.760203923,1,0.760191343,1,0.760187536,0.760199612,0.760229311,0.760200867,0.760187598,0.760191718,1,0.760273588,1,0.760219374,1,0.76019211,0.760210721,1,0.760194184,1,0.76038844,0.760283237,0.76084194,0.760225767,0.76057664,0.760214979,1,0.760236151,1,0.76018792,1,0.760207639,0.76048792,1,0.760275695,1,0.760216924,0.760240845,0.760208721,0.76021453,0.760250812,0.760243457,1,0.760273588,0.760237836,0.760219374,1,0.76019211,0.760210721,1,0.760194184,0.760259635,0.76038844,0.760283237,1,0.760225767,0.76057664,0.760214979,1,0.760236151,0.760207156,0.76018792,1,0.760207639,0.76048792,1,0.760275695,0.760208899,0.760216924,0.760240845,1,0.76021453,0.760250812,0.760243457,1,1.4659,1.4656,1.4551,3.1149,3.0895,2
153,0.760238787,1,0.760189139,1,0.760242798,1,1,0.760188052,0.619971556,0.761439068,1,0.620047282,0.760215153,0.7601977,1,1,0.760188223,1,0.760443586,1,0.760188141,1,1,0.76022611,0.620092364,0.76040886,1,0.620065581,0.760208068,0.760199195,1,1,0.760203647,1,0.760617603,1,0.760237806,1,1,0.760216825,0.620069362,0.760225384,1,0.620761588,0.76034462,0.760351703,1,1,0.760188223,1,0.760443586,1,0.760188141,1,0.760241083,0.76022611,1,1,1,1,0.760208068,0.760199195,0.760343338,1,0.760203647,1,0.760617603,1,0.760237806,1,0.760224867,0.760216825,1,1,1,1,0.76034462,0.760351703,0.760210263,1,11.7676,11.6987,11.6746,8.6417,8.6038,3
154,0.760195214,0.76019667,1,1,1,0.76019593,0.760193454,0.619939836,0.76019368,0.760192104,1,1,0.760187545,0.620058886,0.619960576,0.760194789,0.760228897,0.760236309,1,1,1,0.760191549,0.760305309,0.61995827,0.760246151,0.76022251,1,1,0.760256326,0.619966269,0.620025382,0.760207337,0.760315527,0.760310793,1,1,1,0.761586238,0.76019407,0.619935759,0.760229539,0.760202208,1,1,0.760246415,0.620054774,0.619913053,0.760264294,1,0.760236309,1,1,1,0.760191549,0.760305309,1,0.760246151,0.76022251,1,0.760240318,0.760256326,1,0.620025382,0.760207337,1,0.760310793,1,1,1,0.761586238,0.76019407,1,0.760229539,0.760202208,1,0.761708702,0.760246415,1,0.619913053,0.760264294,4.4405,4.5691,4.5075,17.9738,18.0021,1
155,1,1,0.760201828,0.760200951,1,1,1,0.760197303,0.619986447,0.619936391,0.619986424,0.764678747,1,1,1,1,1,1,0.760681964,0.760190705,1,1,1,0.760201615,0.620007306,0.619922785,0.620193697,0.760225274,1,1,1,1,1,1,0.760360996,0.760565002,1,1,1,0.760731488,0.619912068,0.620099211,0.619915177,0.760245618,1,1,1,1,1,1,0.760681964,0.760190705,1,1,1,0.760201615,1,1,1,0.760225274,1,0.760190413,1,0.760190534,1,1,0.760360996,0.760565002,1,1,1,0.760731488,1,1,1,0.760245618,1,0.760193316,1,0.760214798,19.6873,19.6279,19.6359,24.1829,24.2047,2
156,0.760391048,1,1,0.760187753,1,0.760223843,1,1,0.76019539,1,1,1,0.760198067,1,1,1,0.76037912,1,1,0.760188585,1,0.760296897,1,1,0.760229688,1,1,1,0.760422428,1,1,1,0.76021434,1,1,0.761840726,1,0.760189855,1,1,0.760187604,1,1,1,0.760206932,1,1,1,0.76037912,1,1,0.760188585,0.760201092,0.760296897,0.760190661,1,0.760229688,1,0.796809295,1,0.760422428,1,0.760196922,1,0.76021434,1,1,0.761840726,0.760216988,0.760189855,0.760316174,1,0.760187604,1,0.760226475,1,0.760206932,1,0.760281016,1,29.9003,30.0098,30.0648,9.4123,8.9612,3
157,1,1,1,0.760211471,1,1,0.766517917,0.620185879,0.76022164,0.619969516,0.760194007,1,1,0.620103651,0.760189145,0.619940429,1,1,1,0.76023365,1,1,0.762041669,0.619922959,0.760219528,0.620007582,0.76029096,1,1,0.620139497,0.760211455,0.619969221,1,1,1,0.760206791,1,1,0.760463298,0.620922214,0.760420175,0.620733768,0.760190255,1,1,0.634900871,0.760253288,0.620471828,1,0.760189262,0.760191415,0.76023365,1,0.619984958,0.762041669,1,0.760219528,1,0.76029096,0.760217039,1,1,0.760211455,1,1,0.760206262,0.76027894,0.760206791,1,0.619994697,0.760463298,1,0.760420175,1,0.760190255,0.760193822,1,1,0.760253288,1,13.3951,13.2685,13.1887,12.3245,12.3343,0
158,0.760582241,1,0.529879289,0.762049059,0.76560915,1,1,1,1,0.760592943,0.760653819,1,1,1,1,0.760226681,0.769065181,1,0.522588323,0.760199228,0.780255405,1,1,1,1,0.760285087,0.760255228,1,1,1,1,0.762236125,0.761435483,1,0.520747058,0.760293645,0.760482637,1,1,1,1,0.760191705,0.761335318,1,1,1,1,0.760770406,1,1,0.761523794,1,0.780255405,0.767217622,0.76018754,1,0.760385124,1,1,0.621624357,1,0.760463407,0.623259405,1,1,1,0.760345979,1,0.760482637,0.762972263,0.767931294,1,0.760214033,1,1,0.621626443,1,0.760354524,0.620112268,1,25.2182,25.7934,25.3187,17.5328,17.3679,0
159,1,1,0.760189588,0.760196914,1,1,0.760199097,0.76023663,1,1,0.760193737,0.760209353,0.760225713,0.760204159,0.760195125,0.760220557,1,1,0.760190379,0.760216397,1,1,0.760207781,0.760199519,1,1,0.760189211,0.760213364,0.76018764,0.760195766,0.760198253,0.760309429,1,1,0.760234765,0.760320507,1,1,0.760271175,0.760202094,1,1,0.7602017,0.760409387,0.760337168,0.760219949,0.760543217,0.760669328,1,1,0.760190379,0.760216397,1,1,0.760207781,0.760199519,1,1,0.760189211,0.760213364,0.76018764,0.760195766,0.760198253,0.760309429,1,1,0.760234765,0.760320507,1,1,0.760271175,0.760202094,1,1,0.7602017,0.760409387,0.760337168,0.760219949,0.760543217,0.760669328,7.8304,7.819,7.7856,7.8295,7.794,0
160,1,1,1,0.760197635,1,1,1,0.760206644,1,1,1,0.760197134,1,1,1,0.760207966,1,1,1,0.760230002,1,1,1,0.760251115,1,1,1,0.760244541,1,1,1,0.760187571,1,1,1,0.760251598,1,1,1,0.760242383,1,1,1,0.760305849,1,1,1,0.7602675,1,1,1,0.760230002,1,1,1,0.760251115,1,1,1,0.760244541,1,0.620105726,1,0.760187571,1,1,1,0.760251598,1,1,1,0.760242383,1,1,1,0.760305849,1,0.619997852,1,0.7602675,33.3875,33.553,33.5293,34.03,33.9576,0
161,0.760199362,1,0.760197832,0.760199744,0.760207535,0.760202089,1,1,1,0.760191422,1,0.760198163,0.760198508,0.760210498,0.760208222,1,0.760197365,1,0.760196668,0.760215267,0.760188856,0.76020352,1,1,1,0.760202559,1,0.760206969,0.760212995,0.760199485,0.760215624,1,0.760293653,1,0.760554422,0.760290142,0.760189306,0.760435532,1,1,1,0.760190324,1,0.760276882,0.760192207,0.760251312,0.760326681,1,0.760197365,1,1,0.760215267,0.760188856,0.76020352,1,0.760187737,0.760196362,0.760202559,1,0.760206969,0.760212995,0.760199485,0.760215624,1,0.760293653,1,1,0.760290142,0.760189306,0.760435532,1,0.760880332,0.760287405,0.760190324,1,0.760276882,0.760192207,0.760251312,0.760326681,1,6.3702,6.3927,6.3748,1.8713,1.8693,0
162,0.760206477,1,0.760189995,0.760274497,0.76025906,1,1,0.760227655,0.760223467,0.760210674,1,1,0.76021963,0.760276144,0.76018826,1,0.760188622,1,0.760188034,0.760256032,0.760199766,1,1,0.760194795,0.760272626,0.760218747,1,1,0.760193704,0.760193839,0.760279263,1,0.760343986,1,0.760206117,0.76019411,0.760256239,1,1,0.760286029,0.760394374,0.760270042,1,1,0.760187971,0.760222479,0.760260339,1,0.760188622,1,0.760188034,0.760256032,1,0.761578559,0.760361395,0.760194795,0.760272626,0.760218747,1,0.619921383,0.760193704,0.760193839,0.760279263,0.76019141,0.760343986,1,0.760206117,0.76019411,1,0.7605102,0.760269696,0.760286029,0.760394374,0.760270042,1,0.620100558,0.760187971,0.760222479,0.760260339,0.760224189,8.9105,8.9406,8.9408,3.265,3.2644,0
163,0.760200701,1,1,0.760196328,1,1,0.620042555,0.760198618,0.760197182,1,1,0.760197864,1,1,0.760190861,0.760192662,0.760200615,1,1,0.760203986,1,1,0.619928833,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,1,1,0.76026727,1,1,0.619911466,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,0.760200615,0.619978002,1,0.760203986,1,1,1,0.760206153,0.760201907,1,1,0.760204721,1,1,0.760210484,0.760207366,0.760264442,0.619965175,1,0.76026727,1,1,1,0.760309706,0.760336524,1,1,0.760277247,1,1,0.760374808,0.760280656,17.399,17.2991,17.28,17.0244,16.9648,1
164,0.619912981,1,0.760196524,0.760188365,1,1,1,0.760982246,0.760229825,1,1,0.760193877,0.760189534,0.61999623,1,0.619921524,0.619984419,1,0.760199306,0.760279301,1,1,1,0.760188268,0.760187615,1,1,0.760191304,0.760248035,0.620039715,1,0.619931925,0.619944015,1,0.760229342,0.760190197,1,1,1,0.760222947,0.760248595,1,1,0.760233725,0.76025493,0.619923522,1,0.620052398,1,1,0.760199306,0.760279301,1,0.761642829,0.619927079,0.760188268,1,0.619961473,1,0.760191304,0.760248035,1,1,0.619931925,1,1,0.760229342,0.760190197,1,0.760193622,0.619923951,0.760222947,1,0.619992585,1,0.760233725,0.76025493,1,1,0.620052398,13.6536,13.5843,13.5358,12.6203,12.629,2
165,1,1,1,0.760200973,1,0.619976912,1,1,0.760203605,1,0.760207547,1,0.760189781,1,1,1,1,1,1,0.760209309,1,0.620012272,1,1,0.760187577,1,0.760206434,1,0.760203762,1,1,1,1,1,1,0.760288517,1,0.620671066,1,1,0.760223154,1,0.760339994,1,0.760281725,1,1,1,1,1,0.620131743,0.760209309,1,1,0.620097137,0.76021934,1,1,0.760206434,1,0.760203762,1,1,1,1,1,0.620762173,0.760288517,1,1,0.621027841,0.760486919,1,1,0.760339994,1,0.760281725,1,1,1,33.1453,32.9377,32.796,24.438,24.4363,3
